From,NOX (ppb)
06/02/2023 00:30,103.9
06/02/2023 00:45,104.2
06/02/2023 01:00,104.2
06/02/2023 01:15,105
06/02/2023 01:30,106.2
06/02/2023 01:45,106
06/02/2023 02:00,106.8
06/02/2023 02:15,105.4
06/02/2023 02:30,102.7
06/02/2023 02:45,98.5
06/02/2023 03:00,94.8
06/02/2023 03:15,90.8
06/02/2023 03:30,86.9
06/02/2023 03:45,83.4
06/02/2023 04:00,80.7
06/02/2023 04:15,80.1
06/02/2023 04:30,81.6
06/02/2023 04:45,83.5
06/02/2023 05:00,86.8
06/02/2023 05:15,89.5
06/02/2023 05:30,91.1
06/02/2023 05:45,93.3
06/02/2023 06:00,93.4
06/02/2023 06:15,92.6
06/02/2023 06:30,91.4
06/02/2023 06:45,90.3
06/02/2023 07:00,88.3
06/02/2023 07:15,86.3
06/02/2023 07:30,84.2
06/02/2023 07:45,83.1
06/02/2023 08:00,83.2
06/02/2023 08:15,82
06/02/2023 08:30,81.1
06/02/2023 08:45,79
06/02/2023 09:00,75.8
06/02/2023 09:15,74.3
06/02/2023 09:30,72.1
06/02/2023 09:45,69
06/02/2023 10:00,65.4
06/02/2023 10:15,62.5
06/02/2023 10:30,59.1
06/02/2023 10:45,55.5
06/02/2023 11:00,52
06/02/2023 11:15,47.4
06/02/2023 11:30,42.6
06/02/2023 11:45,39.95
06/02/2023 12:00,37.3
06/02/2023 12:15,34.65
06/02/2023 12:30,32
06/02/2023 12:45,34
06/02/2023 13:00,37.9
06/02/2023 13:15,18.3
06/02/2023 13:30,7.7
06/02/2023 13:45,9.7
06/02/2023 14:00,17.9
06/02/2023 14:15,21.4
06/02/2023 14:30,25
06/02/2023 14:45,28
06/02/2023 15:00,31.3
06/02/2023 15:15,33.8
06/02/2023 15:30,33.6
06/02/2023 15:45,30.2
06/02/2023 16:00,30.2
06/02/2023 16:15,31.4
06/02/2023 16:30,32.2
06/02/2023 16:45,32.7
06/02/2023 17:00,33.2
06/02/2023 17:15,33.4
06/02/2023 17:30,34.5
06/02/2023 17:45,35.5
06/02/2023 18:00,38
06/02/2023 18:15,39.9
06/02/2023 18:30,41.1
06/02/2023 18:45,42.5
06/02/2023 19:00,45.8
06/02/2023 19:15,47.4
06/02/2023 19:30,48.4
06/02/2023 19:45,50.3
06/02/2023 20:00,52.4
06/02/2023 20:15,54.2
06/02/2023 20:30,55.6
06/02/2023 20:45,57.8
06/02/2023 21:00,61
06/02/2023 21:15,63.3
06/02/2023 21:30,64.9
06/02/2023 21:45,66.9
06/02/2023 22:00,68.5
06/02/2023 22:15,68.9
06/02/2023 22:30,68.1
06/02/2023 22:45,66.9
06/02/2023 23:00,67
06/02/2023 23:15,66.9
06/02/2023 23:30,67
06/02/2023 23:45,68.4
07/02/2023 00:00,70.4
07/02/2023 00:15,74.4
07/02/2023 00:30,79.5
07/02/2023 00:45,83.5
07/02/2023 01:00,87
07/02/2023 01:15,88.5
07/02/2023 01:30,89.1
07/02/2023 01:45,88.5
07/02/2023 02:00,87.7
07/02/2023 02:15,86.4
07/02/2023 02:30,82.7
07/02/2023 02:45,79.4
07/02/2023 03:00,76.4
07/02/2023 03:15,73.4
07/02/2023 03:30,71.3
07/02/2023 03:45,68.6
07/02/2023 04:00,66.6
07/02/2023 04:15,63.7
07/02/2023 04:30,62.1
07/02/2023 04:45,61.1
07/02/2023 05:00,61.2
07/02/2023 05:15,62.6
07/02/2023 05:30,64.3
07/02/2023 05:45,67.3
07/02/2023 06:00,71.3
07/02/2023 06:15,73.9
07/02/2023 06:30,75.8
07/02/2023 06:45,77.6
07/02/2023 07:00,79
07/02/2023 07:15,81.7
07/02/2023 07:30,85.2
07/02/2023 07:45,87.9
07/02/2023 08:00,89.2
07/02/2023 08:15,87.2
07/02/2023 08:30,84.5
07/02/2023 08:45,81.9
07/02/2023 09:00,79.1
07/02/2023 09:15,76.3
07/02/2023 09:30,72.5
07/02/2023 09:45,68.5
07/02/2023 10:00,65.6
07/02/2023 10:15,63.2
07/02/2023 10:30,60.3
07/02/2023 10:45,54.6
07/02/2023 11:00,47.9
07/02/2023 11:15,43.2
07/02/2023 11:30,40.4
07/02/2023 11:45,38.55
07/02/2023 12:00,36.7
07/02/2023 12:15,34.85
07/02/2023 12:30,33
07/02/2023 12:45,32.7
07/02/2023 13:00,31.6
07/02/2023 13:15,29.8
07/02/2023 13:30,28.7
07/02/2023 13:45,28.3
07/02/2023 14:00,27.5
07/02/2023 14:15,25.8
07/02/2023 14:30,25.1
07/02/2023 14:45,25.9
07/02/2023 15:00,28.3
07/02/2023 15:15,29.6
07/02/2023 15:30,31.9
07/02/2023 15:45,34.6
07/02/2023 16:00,35.8
07/02/2023 16:15,37.6
07/02/2023 16:30,39.1
07/02/2023 16:45,39.9
07/02/2023 17:00,41.1
07/02/2023 17:15,42.5
07/02/2023 17:30,44
07/02/2023 17:45,45.6
07/02/2023 18:00,47.7
07/02/2023 18:15,49
07/02/2023 18:30,49.7
07/02/2023 18:45,48.8
07/02/2023 19:00,49.8
07/02/2023 19:15,51
07/02/2023 19:30,50.9
07/02/2023 19:45,50.9
07/02/2023 20:00,51
07/02/2023 20:15,50.3
07/02/2023 20:30,49.4
07/02/2023 20:45,49.6
07/02/2023 21:00,49.4
07/02/2023 21:15,48.5
07/02/2023 21:30,47.6
07/02/2023 21:45,47.9
07/02/2023 22:00,48.8
07/02/2023 22:15,48.4
07/02/2023 22:30,47.5
07/02/2023 22:45,47.1
07/02/2023 23:00,48
07/02/2023 23:15,48.8
07/02/2023 23:30,50
07/02/2023 23:45,50.3
08/02/2023 00:00,51.6
08/02/2023 00:15,52.6
08/02/2023 00:30,53.5
08/02/2023 00:45,55.2
08/02/2023 01:00,57.3
08/02/2023 01:15,59.6
08/02/2023 01:30,61.3
08/02/2023 01:45,63.2
08/02/2023 02:00,64.9
08/02/2023 02:15,66.5
08/02/2023 02:30,68.5
08/02/2023 02:45,69.9
08/02/2023 03:00,71.2
08/02/2023 03:15,72.3
08/02/2023 03:30,72
08/02/2023 03:45,71.8
08/02/2023 04:00,72.5
08/02/2023 04:15,72.5
08/02/2023 04:30,72.8
08/02/2023 04:45,73.7
08/02/2023 05:00,74.7
08/02/2023 05:15,75.4
08/02/2023 05:30,75.4
08/02/2023 05:45,75.1
08/02/2023 06:00,75.2
08/02/2023 06:15,74.2
08/02/2023 06:30,72
08/02/2023 06:45,70.7
08/02/2023 07:00,70.3
08/02/2023 07:15,68.9
08/02/2023 07:30,68
08/02/2023 07:45,66.6
08/02/2023 08:00,66
08/02/2023 08:15,64.7
08/02/2023 08:30,64.3
08/02/2023 08:45,63.2
08/02/2023 09:00,61.6
08/02/2023 09:15,60.4
08/02/2023 09:30,59.3
08/02/2023 09:45,58.3
08/02/2023 10:00,56.7
08/02/2023 10:15,55
08/02/2023 10:30,53.6
08/02/2023 10:45,50.9
08/02/2023 11:00,48.2
08/02/2023 11:15,46.1
08/02/2023 11:30,43.2
08/02/2023 11:45,41.775
08/02/2023 12:00,40.35
08/02/2023 12:15,38.925
08/02/2023 12:30,37.5
08/02/2023 12:45,37.9
08/02/2023 13:00,36.9
08/02/2023 13:15,35.6
08/02/2023 13:30,33.8
08/02/2023 13:45,31.8
08/02/2023 14:00,31.6
08/02/2023 14:15,32.6
08/02/2023 14:30,31.9
08/02/2023 14:45,32.93333333
08/02/2023 15:00,33.96666667
08/02/2023 15:15,35
08/02/2023 15:30,36.03333333
08/02/2023 15:45,37.06666667
08/02/2023 16:00,38.1
08/02/2023 16:15,39.13333333
08/02/2023 16:30,40.16666667
08/02/2023 16:45,41.2
08/02/2023 17:00,42.23333333
08/02/2023 17:15,43.26666667
08/02/2023 17:30,44.3
08/02/2023 17:45,42.7
08/02/2023 18:00,41.7
08/02/2023 18:15,40.9
08/02/2023 18:30,41.7
08/02/2023 18:45,43.6
08/02/2023 19:00,45.4
08/02/2023 19:15,47.5
08/02/2023 19:30,48.8
08/02/2023 19:45,50.2
08/02/2023 20:00,51.4
08/02/2023 20:15,51.6
08/02/2023 20:30,52.3
08/02/2023 20:45,52.9
08/02/2023 21:00,54.8
08/02/2023 21:15,55.8
08/02/2023 21:30,56.8
08/02/2023 21:45,58.7
08/02/2023 22:00,59.7
08/02/2023 22:15,59.8
08/02/2023 22:30,59.8
08/02/2023 22:45,60.1
08/02/2023 23:00,61.6
08/02/2023 23:15,62.6
08/02/2023 23:30,62.8
08/02/2023 23:45,63.6
09/02/2023 00:00,64.5
09/02/2023 00:15,64.6
09/02/2023 00:30,64.5
09/02/2023 00:45,64.4
09/02/2023 01:00,64.5
09/02/2023 01:15,63.7
09/02/2023 01:30,62.1
09/02/2023 01:45,60.7
09/02/2023 02:00,59.8
09/02/2023 02:15,57.7
09/02/2023 02:30,56.6
09/02/2023 02:45,55.5
09/02/2023 03:00,54.7
09/02/2023 03:15,53.1
09/02/2023 03:30,51.1
09/02/2023 03:45,50.5
09/02/2023 04:00,49.9
09/02/2023 04:15,49.2
09/02/2023 04:30,47.7
09/02/2023 04:45,47.4
09/02/2023 05:00,47.4
09/02/2023 05:15,46.7
09/02/2023 05:30,46.1
09/02/2023 05:45,45
09/02/2023 06:00,45
09/02/2023 06:15,46.6
09/02/2023 06:30,49.2
09/02/2023 06:45,50.8
09/02/2023 07:00,50.9
09/02/2023 07:15,50.6
