From,PM10 (µg/m3)
07/02/2023 23:15,122
07/02/2023 23:30,122
07/02/2023 23:45,197
08/02/2023 00:00,197
08/02/2023 00:15,197
08/02/2023 00:30,197
08/02/2023 00:45,157
08/02/2023 01:00,157
08/02/2023 01:15,157
08/02/2023 01:30,157
08/02/2023 01:45,307
08/02/2023 02:00,307
08/02/2023 02:15,307
08/02/2023 02:30,307
08/02/2023 02:45,296
08/02/2023 03:00,296
08/02/2023 03:15,296
08/02/2023 03:30,296
08/02/2023 03:45,284
08/02/2023 04:00,284
08/02/2023 04:15,284
08/02/2023 04:30,284
08/02/2023 04:45,284
08/02/2023 05:00,284
08/02/2023 05:15,284
08/02/2023 05:30,284
08/02/2023 05:45,271
08/02/2023 06:00,271
08/02/2023 06:15,271
08/02/2023 06:30,271
08/02/2023 06:45,151
08/02/2023 07:00,151
08/02/2023 07:15,151
08/02/2023 07:30,151
08/02/2023 07:45,121
08/02/2023 08:00,121
08/02/2023 08:15,121
08/02/2023 08:30,121
08/02/2023 08:45,195
08/02/2023 09:00,195
08/02/2023 09:15,195
08/02/2023 09:30,195
08/02/2023 09:45,180
08/02/2023 10:00,180
08/02/2023 10:15,180
08/02/2023 10:30,180
08/02/2023 10:45,178
08/02/2023 11:00,178
08/02/2023 11:15,178
08/02/2023 11:30,178
08/02/2023 11:45,168
08/02/2023 12:00,168
08/02/2023 12:15,168
08/02/2023 12:30,168
08/02/2023 12:45,168
08/02/2023 13:00,168
08/02/2023 13:15,168
08/02/2023 13:30,168
08/02/2023 13:45,183
08/02/2023 14:00,183
08/02/2023 14:15,183
08/02/2023 14:30,183
08/02/2023 14:45,NA
08/02/2023 15:00,NA
08/02/2023 15:15,NA
08/02/2023 15:30,NA
08/02/2023 15:45,NA
08/02/2023 16:00,NA
08/02/2023 16:15,NA
08/02/2023 16:30,NA
08/02/2023 16:45,NA
08/02/2023 17:00,NA
08/02/2023 17:15,179
08/02/2023 17:30,179
08/02/2023 17:45,182
08/02/2023 18:00,182
08/02/2023 18:15,182
08/02/2023 18:30,182
08/02/2023 18:45,227
08/02/2023 19:00,227
08/02/2023 19:15,227
08/02/2023 19:30,227
08/02/2023 19:45,238
08/02/2023 20:00,238
08/02/2023 20:15,238
08/02/2023 20:30,238
08/02/2023 20:45,238
