From,CO (mg/m3)
05/02/2023 09:30,0.5
05/02/2023 09:45,0.763333333
05/02/2023 10:00,1.026666667
05/02/2023 10:15,1.29
05/02/2023 10:30,0.46
05/02/2023 10:45,0.44
05/02/2023 11:00,0.44
05/02/2023 11:15,0.42
05/02/2023 11:30,0.38
05/02/2023 11:45,0.35
05/02/2023 12:00,0.34
05/02/2023 12:15,0.3
05/02/2023 12:30,0.27
05/02/2023 12:45,0.27
05/02/2023 13:00,0.25
05/02/2023 13:15,0.24
05/02/2023 13:30,0.23
05/02/2023 13:45,0.21
05/02/2023 14:00,0.17
05/02/2023 14:15,0.15
05/02/2023 14:30,0.14
05/02/2023 14:45,0.14
05/02/2023 15:00,0.13
05/02/2023 15:15,0.19
05/02/2023 15:30,0.196
05/02/2023 15:45,0.202
05/02/2023 16:00,0.208
05/02/2023 16:15,0.214
05/02/2023 16:30,0.22
05/02/2023 16:45,0.226
05/02/2023 17:00,0.232
05/02/2023 17:15,0.238
05/02/2023 17:30,0.244
05/02/2023 17:45,0.25
05/02/2023 18:00,0.24
05/02/2023 18:15,0.33
05/02/2023 18:30,0.65
05/02/2023 18:45,0.87
05/02/2023 19:00,0.98
05/02/2023 19:15,0.93
05/02/2023 19:30,1.28
05/02/2023 19:45,1.05
05/02/2023 20:00,0.93
05/02/2023 20:15,0.87
05/02/2023 20:30,1.12
05/02/2023 20:45,2.38
05/02/2023 21:00,2.1
05/02/2023 21:15,1.56
05/02/2023 21:30,1.83
05/02/2023 21:45,2.05
05/02/2023 22:00,1.74
05/02/2023 22:15,1.57
05/02/2023 22:30,1.56
05/02/2023 22:45,1.56
05/02/2023 23:00,1.56
05/02/2023 23:15,1.84
05/02/2023 23:30,1.65
05/02/2023 23:45,1.46
06/02/2023 00:00,1.27
06/02/2023 00:15,1.04
06/02/2023 00:30,1.04
06/02/2023 00:45,1
06/02/2023 01:00,1.35
06/02/2023 01:15,1.68
06/02/2023 01:30,1.48
06/02/2023 01:45,1.21
06/02/2023 02:00,1.18
06/02/2023 02:15,1.39
06/02/2023 02:30,1.16
06/02/2023 02:45,1.03
06/02/2023 03:00,1
06/02/2023 03:15,0.87
06/02/2023 03:30,0.97
06/02/2023 03:45,1.15
06/02/2023 04:00,1.35
06/02/2023 04:15,1.58
06/02/2023 04:30,1.72
06/02/2023 04:45,1.59
06/02/2023 05:00,1.33
06/02/2023 05:15,1.27
06/02/2023 05:30,1.21
06/02/2023 05:45,1.02
06/02/2023 06:00,1.06
06/02/2023 06:15,1.05
06/02/2023 06:30,1.12
06/02/2023 06:45,1.2
06/02/2023 07:00,1.21
06/02/2023 07:15,1.27
06/02/2023 07:30,1.41
06/02/2023 07:45,1.24
06/02/2023 08:00,0.9
06/02/2023 08:15,0.92
06/02/2023 08:30,0.88
06/02/2023 08:45,0.77
06/02/2023 09:00,0.71
06/02/2023 09:15,0.69
06/02/2023 09:30,0.55
06/02/2023 09:45,0.823333333
06/02/2023 10:00,1.096666667
06/02/2023 10:15,1.37
06/02/2023 10:30,0.5
06/02/2023 10:45,0.47
06/02/2023 11:00,0.39
06/02/2023 11:15,0.35
06/02/2023 11:30,0.35
06/02/2023 11:45,0.33
06/02/2023 12:00,0.31
06/02/2023 12:15,0.31
06/02/2023 12:30,0.27
06/02/2023 12:45,0.33
06/02/2023 13:00,0.41
06/02/2023 13:15,0.49
06/02/2023 13:30,0.58
06/02/2023 13:45,0.57
06/02/2023 14:00,0.48
06/02/2023 14:15,0.4
06/02/2023 14:30,0.35
06/02/2023 14:45,0.35
06/02/2023 15:00,0.32
06/02/2023 15:15,0.33
