From,NH3 (µg/m3)
05/02/2023 17:00,29.4
05/02/2023 17:15,28.8
05/02/2023 17:30,28.2
05/02/2023 17:45,27.6
05/02/2023 18:00,27
05/02/2023 18:15,27.2
05/02/2023 18:30,27.4
05/02/2023 18:45,27.4
05/02/2023 19:00,27.2
05/02/2023 19:15,27.1
05/02/2023 19:30,26.7
05/02/2023 19:45,25.9
05/02/2023 20:00,25.3
05/02/2023 20:15,24.9
05/02/2023 20:30,24.5
05/02/2023 20:45,25.3
05/02/2023 21:00,26.8
05/02/2023 21:15,27.2
05/02/2023 21:30,27.3
05/02/2023 21:45,27.7
05/02/2023 22:00,27.8
05/02/2023 22:15,27.7
05/02/2023 22:30,27.9
05/02/2023 22:45,28.2
05/02/2023 23:00,27.8
05/02/2023 23:15,27.2
05/02/2023 23:30,27.8
05/02/2023 23:45,28.5
06/02/2023 00:00,28.7
06/02/2023 00:15,28.9
06/02/2023 00:30,27.9
06/02/2023 00:45,27.6
06/02/2023 01:00,25.7
06/02/2023 01:15,24.3
06/02/2023 01:30,22.8
06/02/2023 01:45,22.5
06/02/2023 02:00,22.3
06/02/2023 02:15,22.2
06/02/2023 02:30,21.9
06/02/2023 02:45,21.7
06/02/2023 03:00,22.4
06/02/2023 03:15,22.4
06/02/2023 03:30,22.2
06/02/2023 03:45,22.1
06/02/2023 04:00,22.3
06/02/2023 04:15,22.2
06/02/2023 04:30,22.4
06/02/2023 04:45,22.8
06/02/2023 05:00,24.7
06/02/2023 05:15,26
06/02/2023 05:30,27
06/02/2023 05:45,26.9
06/02/2023 06:00,26.6
06/02/2023 06:15,26.6
06/02/2023 06:30,26.8
06/02/2023 06:45,26.3
06/02/2023 07:00,25.9
06/02/2023 07:15,25.9
06/02/2023 07:30,26.8
06/02/2023 07:45,27.7
06/02/2023 08:00,27.3
06/02/2023 08:15,27.5
06/02/2023 08:30,27.6
06/02/2023 08:45,28
06/02/2023 09:00,26.4
06/02/2023 09:15,25.2
06/02/2023 09:30,24.2
06/02/2023 09:45,24.6
06/02/2023 10:00,24.9
06/02/2023 10:15,24.7
06/02/2023 10:30,24.8
06/02/2023 10:45,25.2
06/02/2023 11:00,25.4
06/02/2023 11:15,25.4
06/02/2023 11:30,25.7
06/02/2023 11:45,24.53333333
06/02/2023 12:00,23.36666667
06/02/2023 12:15,22.2
06/02/2023 12:30,29.2
06/02/2023 12:45,47.4
06/02/2023 13:00,62.4
06/02/2023 13:15,56.9
06/02/2023 13:30,51.3
06/02/2023 13:45,45.9
06/02/2023 14:00,38.3
06/02/2023 14:15,34.3
06/02/2023 14:30,31.6
06/02/2023 14:45,28.2
06/02/2023 15:00,27.1
06/02/2023 15:15,26.5
06/02/2023 15:30,25.4
06/02/2023 15:45,24.6
06/02/2023 16:00,23.9
06/02/2023 16:15,23.1
06/02/2023 16:30,22.6
06/02/2023 16:45,22.6
06/02/2023 17:00,23
06/02/2023 17:15,23.3
06/02/2023 17:30,23.3
06/02/2023 17:45,23.4
06/02/2023 18:00,23.8
06/02/2023 18:15,24.2
06/02/2023 18:30,24
06/02/2023 18:45,21.7
06/02/2023 19:00,19.8
06/02/2023 19:15,19.3
06/02/2023 19:30,19
06/02/2023 19:45,19
06/02/2023 20:00,18.5
06/02/2023 20:15,18.6
06/02/2023 20:30,18.7
06/02/2023 20:45,18.4
06/02/2023 21:00,17.9
06/02/2023 21:15,17.8
06/02/2023 21:30,18.4
06/02/2023 21:45,18.7
06/02/2023 22:00,18.6
06/02/2023 22:15,18.3
06/02/2023 22:30,19.5
06/02/2023 22:45,21.6
06/02/2023 23:00,22.5
06/02/2023 23:15,23.3
06/02/2023 23:30,24.1
06/02/2023 23:45,24.2
07/02/2023 00:00,25.1
07/02/2023 00:15,25.1
07/02/2023 00:30,24.9
07/02/2023 00:45,24.9
07/02/2023 01:00,24.7
07/02/2023 01:15,25.1
07/02/2023 01:30,25.1
07/02/2023 01:45,24.7
07/02/2023 02:00,24.1
07/02/2023 02:15,24.1
07/02/2023 02:30,23.6
07/02/2023 02:45,21.5
07/02/2023 03:00,20.3
07/02/2023 03:15,20
07/02/2023 03:30,19.4
07/02/2023 03:45,19.4
07/02/2023 04:00,19.4
07/02/2023 04:15,19.5
07/02/2023 04:30,19.3
07/02/2023 04:45,19.7
07/02/2023 05:00,19.4
07/02/2023 05:15,19
07/02/2023 05:30,19.5
07/02/2023 05:45,20.1
07/02/2023 06:00,19.5
07/02/2023 06:15,19.7
07/02/2023 06:30,20
07/02/2023 06:45,21.3
07/02/2023 07:00,23.1
07/02/2023 07:15,24.4
07/02/2023 07:30,25.1
07/02/2023 07:45,25.7
07/02/2023 08:00,25.6
07/02/2023 08:15,25.4
07/02/2023 08:30,25.2
07/02/2023 08:45,25.9
07/02/2023 09:00,26.5
07/02/2023 09:15,26.1
07/02/2023 09:30,25.5
07/02/2023 09:45,26.1
07/02/2023 10:00,26.4
07/02/2023 10:15,26.4
07/02/2023 10:30,26.9
07/02/2023 10:45,25.2
07/02/2023 11:00,22.6
07/02/2023 11:15,21.1
07/02/2023 11:30,20.5
07/02/2023 11:45,19.6
07/02/2023 12:00,18.7
07/02/2023 12:15,17.8
07/02/2023 12:30,16.8
07/02/2023 12:45,17.3
07/02/2023 13:00,17.1
07/02/2023 13:15,17.1
07/02/2023 13:30,17.4
07/02/2023 13:45,17.8
07/02/2023 14:00,17.8
07/02/2023 14:15,17.9
07/02/2023 14:30,19.3
07/02/2023 14:45,21.6
07/02/2023 15:00,23
07/02/2023 15:15,23.2
07/02/2023 15:30,23.1
07/02/2023 15:45,22.3
07/02/2023 16:00,22.4
07/02/2023 16:15,21.7
07/02/2023 16:30,21.3
07/02/2023 16:45,21.3
07/02/2023 17:00,21.3
07/02/2023 17:15,20.8
07/02/2023 17:30,20.9
07/02/2023 17:45,20.8
07/02/2023 18:00,20.4
07/02/2023 18:15,20.1
07/02/2023 18:30,21.1
07/02/2023 18:45,20.4
07/02/2023 19:00,19.6
07/02/2023 19:15,18.7
07/02/2023 19:30,18.4
07/02/2023 19:45,17.6
07/02/2023 20:00,17.2
07/02/2023 20:15,17.2
07/02/2023 20:30,17.8
07/02/2023 20:45,17.6
07/02/2023 21:00,17.4
07/02/2023 21:15,17.1
07/02/2023 21:30,17
07/02/2023 21:45,17.5
07/02/2023 22:00,17.5
07/02/2023 22:15,17.4
07/02/2023 22:30,17.9
07/02/2023 22:45,19.6
07/02/2023 23:00,21.3
07/02/2023 23:15,21.9
07/02/2023 23:30,22.5
07/02/2023 23:45,22.8
08/02/2023 00:00,22.7
08/02/2023 00:15,23
08/02/2023 00:30,24
08/02/2023 00:45,24.3
08/02/2023 01:00,24.1
08/02/2023 01:15,23.8
08/02/2023 01:30,23.7
08/02/2023 01:45,23.9
08/02/2023 02:00,23.9
08/02/2023 02:15,24.1
08/02/2023 02:30,23.8
08/02/2023 02:45,22.5
08/02/2023 03:00,22.2
08/02/2023 03:15,21.4
08/02/2023 03:30,20.2
08/02/2023 03:45,19.4
08/02/2023 04:00,19.1
08/02/2023 04:15,19.2
08/02/2023 04:30,19.1
08/02/2023 04:45,19
08/02/2023 05:00,18.4
08/02/2023 05:15,18.2
08/02/2023 05:30,18.9
08/02/2023 05:45,19.1
08/02/2023 06:00,19.1
08/02/2023 06:15,18.9
